Data NuEer,bidder,house,date,lot,profit,Net  Payment,rank,realisation in final auAtion,bid,EstDated MinDum,EstDated MaxDum,Aatalog PriAe,Aatalog Du10y,EstDate Min,EstDate Max,Grade Min ,Grade Max,No Grade,ExAlusively US,No Value
109,1,A,35360,401,0,0,1,380,375,250,300,0,0,250,300,3,2,0,0,0
110,2,A,35360,401,0,0,2,380,220,250,300,0,0,250,300,3,2,0,0,0
111,3,A,35360,402,0,0,1,380,340,250,300,0,0,250,300,2,2,0,0,0
112,1,A,35360,402,0,0,2,380,280,250,300,0,0,250,300,2,2,0,0,0
113,2,A,35360,402,0,0,3,380,225,250,300,0,0,250,300,2,2,0,0,0
114,3,A,35360,403,0,0,1,700,620,300,400,0,0,300,400,2,2,0,0,0
115,2,A,35360,403,0,0,2,700,420,300,400,0,0,300,400,2,2,0,0,0
116,1,A,35360,403,0,0,3,700,370,300,400,0,0,300,400,2,2,0,0,0
117,2,A,35360,404,0,0,1,150,150,80,100,0,0,80,100,2,2,0,0,0
118,1,A,35360,404,0,0,2,150,150,80,100,0,0,80,100,2,2,0,0,0
119,3,A,35360,404,0,0,3,150,130,80,100,0,0,80,100,2,2,0,0,0
