"Data NuEer","bidder","house","date","lot","profit","payment","rank","target_price","ko_bid","est_min_dum","est_max_dum","catalog_price","catalog_du10y","est_min","est_max","grade_min","grade_max","no_grade","us","no_value","ringers","max_bid","ring_winner","highest_ringer","payer","receiver","avg_est","small_lots","ones"
2339,1,"D",35412,1157,0,0,2,270,160,200,300,0,0,200,300,3,2,0,0,0,2,200,0,1,0,0,250,1,1
2340,2,"D",35412,1158,0,0,1,850,850,500,750,0,0,500,750,3,2,0,0,0,2,850,0,0,0,0,625,1,1
2341,1,"D",35412,1158,0,0,2,850,700,500,750,0,0,500,750,3,2,0,0,0,2,850,1,1,0,0,625,1,1
2342,1,"D",35412,1159,0,0,1,675,600,500,750,0,0,500,750,3,2,0,0,0,2,600,0,0,0,0,625,1,1
2343,2,"D",35412,1159,0,0,2,675,575,500,750,0,0,500,750,3,2,0,0,0,2,600,0,1,0,0,625,1,1
2344,2,"D",35412,1160,0,0,1,800,725,750,1000,0,0,750,1000,2,2,0,0,0,2,725,0,0,0,0,875,1,1
2345,1,"D",35412,1160,0,0,2,800,600,750,1000,0,0,750,1000,2,2,0,0,0,2,725,0,1,0,0,875,1,1
2348,2,"D",35412,1164,0,0,1,600,750,500,750,0,0,500,750,3,2,0,0,0,2,750,0,0,0,0,625,1,1
2349,1,"D",35412,1164,0,0,2,600,500,500,750,0,0,500,750,3,2,0,0,0,2,750,1,1,0,0,625,1,1
2350,1,"D",35412,1165,0,0,1,1100,650,400,500,0,0,400,500,2,2,0,0,0,2,650,0,0,0,0,450,1,1
2351,2,"D",35412,1165,0,0,2,1100,600,400,500,0,0,400,500,2,2,0,0,0,2,650,0,1,0,0,450,1,1
2363,2,"D",35412,1170,0,0,1,1100,1100,500,750,0,0,500,750,3,2,0,0,0,2,1100,0,0,0,0,625,1,1
2364,1,"D",35412,1170,0,0,2,1100,800,500,750,0,0,500,750,3,2,0,0,0,2,1100,1,1,0,0,625,1,1
2365,2,"D",35412,1171,87.5,-87.5,1,525,750,300,400,0,0,300,400,6,6,0,0,0,2,750,0,0,0,1,350,1,1
2366,1,"D",35412,1171,87.5,87.5,2,525,700,300,400,0,0,300,400,6,6,0,0,0,2,750,1,1,1,0,350,1,1
2367,1,"D",35412,1172,0,0,1,550,550,500,750,0,0,500,750,3,2,0,0,0,2,550,0,0,0,0,625,1,1
2368,2,"D",35412,1172,0,0,2,550,475,500,750,0,0,500,750,3,2,0,0,0,2,550,1,1,0,0,625,1,1
2374,6,"D",35412,1177,425,-425,1,550,1500,750,1000,0,0,750,1000,0,0,1,0,0,2,1500,0,0,0,1,875,1,1
2375,1,"D",35412,1177,425,425,2,550,1400,750,1000,0,0,750,1000,0,0,1,0,0,2,1500,1,1,1,0,875,1,1
2387,4,"D",35412,1181,0,0,1,750,625,0,0,1050.679732,1,1050.679732,1050.679732,2,2,0,0,0,2,625,0,0,0,0,1050.679732,1,1
2388,2,"D",35412,1181,0,0,2,750,600,0,0,1050.679732,1,1050.679732,1050.679732,2,2,0,0,0,2,625,0,1,0,0,1050.679732,1,1
2392,4,"D",35412,1183,0,0,1,2000,2800,750,1000,0,0,750,1000,0,0,1,0,0,2,2800,0,0,0,0,875,1,1
2393,1,"D",35412,1183,0,0,2,2000,1100,750,1000,0,0,750,1000,0,0,1,0,0,2,2800,1,1,0,0,875,1,1
2394,4,"D",35412,1184,0,0,1,1000,950,500,750,0,0,500,750,0,0,1,0,0,2,950,0,0,0,0,625,1,1
2395,1,"D",35412,1184,0,0,2,1000,480,500,750,0,0,500,750,0,0,1,0,0,2,950,0,1,0,0,625,1,1
2401,6,"D",35412,1187,125,-125,1,600,1000,500,750,0,0,500,750,6,6,0,0,0,2,1000,0,0,0,1,625,1,1
2402,1,"D",35412,1187,125,125,2,600,850,500,750,0,0,500,750,6,6,0,0,0,2,1000,1,1,1,0,625,1,1
2403,6,"D",35412,1188,0,0,1,1250,1200,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1200,0,0,0,0,1250,1,1
2404,1,"D",35412,1188,0,0,2,1250,900,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1200,0,1,0,0,1250,1,1
2411,4,"D",35412,1193,0,0,1,450,450,300,400,0,0,300,400,3,2,0,0,0,2,450,0,0,0,0,350,1,1
2412,1,"D",35412,1193,0,0,2,450,200,300,400,0,0,300,400,3,2,0,0,0,2,450,1,1,0,0,350,1,1
2413,6,"D",35412,1194,0,0,1,750,700,500,750,0,0,500,750,3,2,0,0,0,2,700,0,0,0,0,625,1,1
2414,1,"D",35412,1194,0,0,2,750,650,500,750,0,0,500,750,3,2,0,0,0,2,700,0,1,0,0,625,1,1
2444,6,"D",35412,1207,25,-25,1,950,1100,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1100,0,0,0,1,1250,1,1
2445,1,"D",35412,1207,25,25,2,950,1000,1000,1500,0,0,1000,1500,3,2,0,0,0,2,1100,1,1,1,0,1250,1,1
2446,1,"D",35412,1208,0,0,1,650,500,400,500,0,0,400,500,3,2,0,0,0,2,500,0,0,0,0,450,1,1
2447,2,"D",35412,1208,0,0,2,650,400,400,500,0,0,400,500,3,2,0,0,0,2,500,0,1,0,0,450,1,1
2490,10,"E",35470,103,0,0,1,800,800,500,750,0,0,500,750,0,0,1,1,0,2,800,0,0,0,0,625,1,1
2491,2,"E",35470,103,0,0,2,800,600,500,750,0,0,500,750,0,0,1,1,0,2,800,1,1,0,0,625,1,1
2508,9,"E",35470,110,0,0,1,750,750,500,750,0,0,500,750,0,0,1,1,0,2,750,0,0,0,0,625,1,1
2509,7,"E",35470,110,0,0,2,750,700,500,750,0,0,500,750,0,0,1,1,0,2,750,1,1,0,0,625,1,1
2510,7,"E",35470,111,87.5,-87.5,1,325,550,400,450,0,0,400,450,3,2,0,0,0,2,550,0,0,0,1,425,1,1
2511,9,"E",35470,111,87.5,87.5,2,325,500,400,450,0,0,400,450,3,2,0,0,0,2,550,1,1,1,0,425,1,1
2524,9,"E",35470,116,50,-50,1,400,500,0,0,2500,1,2500,2500,3,3,0,0,0,2,500,0,0,0,1,2500,1,1
2525,7,"E",35470,116,50,50,2,400,500,0,0,2500,1,2500,2500,3,3,0,0,0,2,500,0,0,1,0,2500,1,1
2541,9,"E",35470,121,0,0,1,3500,6000,2000,3000,0,0,2000,3000,0,0,1,0,0,2,6000,0,0,0,0,2500,1,1
2542,3,"E",35470,121,0,0,2,3500,2400,2000,3000,0,0,2000,3000,0,0,1,0,0,2,6000,1,1,0,0,2500,1,1
2979,4,"E",35470,194,0,0,1,2500,2500,1500,2000,0,0,1500,2000,0,0,1,0,0,2,2500,0,0,0,0,1750,1,1
2980,3,"E",35470,194,0,0,2,2500,1200,1500,2000,0,0,1500,2000,0,0,1,0,0,2,2500,1,1,0,0,1750,1,1
3094,9,"E",35470,215,0,0,1,325,300,300,400,0,0,300,400,2,2,0,0,0,2,300,0,0,0,0,350,1,1
3095,1,"E",35470,215,0,0,2,325,150,300,400,0,0,300,400,2,2,0,0,0,2,300,0,1,0,0,350,1,1
3893,3,"F1",35356,2807,0,0,1,2400,700,600,800,0,0,600,800,3,3,0,0,0,2,700,0,0,0,0,700,1,1
3894,1,"F1",35356,2807,0,0,2,2400,600,600,800,0,0,600,800,3,3,0,0,0,2,700,0,1,0,0,700,1,1
3900,3,"F1",35356,2814,0,0,1,170,150,100,150,0,0,100,150,3,3,0,0,0,2,150,0,0,0,0,125,1,1
3901,4,"F1",35356,2814,0,0,2,170,120,100,150,0,0,100,150,3,3,0,0,0,2,150,0,1,0,0,125,1,1
3936,4,"F1",35356,2826,0,0,1,230,220,80,100,0,0,80,100,3,2,0,0,0,2,220,0,0,0,0,90,1,1
3937,1,"F1",35356,2826,0,0,2,230,200,80,100,0,0,80,100,3,2,0,0,0,2,220,0,1,0,0,90,1,1
3944,11,"F1",35356,2829,0,0,1,230,250,0,0,744,1,744,744,3,2,0,0,0,2,250,0,0,0,0,744,1,1
3945,1,"F1",35356,2829,0,0,2,230,110,0,0,744,1,744,744,3,2,0,0,0,2,250,1,1,0,0,744,1,1
3946,11,"F1",35356,2830,0,0,1,1700,1500,2500,3500,0,0,2500,3500,2,2,0,0,0,2,1500,0,0,0,0,3000,1,1
3947,1,"F1",35356,2830,0,0,2,1700,1300,2500,3500,0,0,2500,3500,2,2,0,0,0,2,1500,0,1,0,0,3000,1,1
3948,4,"F1",35356,2831,0,0,1,1600,2300,600,800,0,0,600,800,3,2,0,0,0,2,2300,0,0,0,0,700,1,1
3949,3,"F1",35356,2831,0,0,2,1600,1200,600,800,0,0,600,800,3,2,0,0,0,2,2300,1,1,0,0,700,1,1
3950,3,"F1",35356,2833,0,0,1,1000,600,300,500,0,0,300,500,3,2,0,0,0,2,600,0,0,0,0,400,1,1
3951,1,"F1",35356,2833,0,0,2,1000,400,300,500,0,0,300,500,3,2,0,0,0,2,600,0,1,0,0,400,1,1
3963,1,"F1",35356,2837,0,0,1,400,220,250,300,0,0,250,300,3,2,0,0,0,2,220,0,0,0,0,275,1,1
3964,4,"F1",35356,2837,0,0,2,400,90,250,300,0,0,250,300,3,2,0,0,0,2,220,0,1,0,0,275,1,1
3980,5,"F1",35356,2841,0,0,1,8500,5200,5000,6000,0,0,5000,6000,3,2,0,0,0,2,5200,0,0,0,0,5500,1,1
3981,1,"F1",35356,2841,0,0,2,8500,5000,5000,6000,0,0,5000,6000,3,2,0,0,0,2,5200,0,1,0,0,5500,1,1
4003,3,"F1",35500,1042,0,0,1,280,310,0,0,1462,1,1462,1462,3,2,0,0,0,2,310,0,0,0,0,1462,1,1
4004,1,"F1",35500,1042,0,0,2,280,250,0,0,1462,1,1462,1462,3,2,0,0,0,2,310,1,1,0,0,1462,1,1
4005,4,"F1",35500,1043,0,0,1,6000,2200,1000,1500,0,0,1000,1500,3,2,0,0,0,2,2200,0,0,0,0,1250,1,1
4006,6,"F1",35500,1043,0,0,2,6000,1300,1000,1500,0,0,1000,1500,3,2,0,0,0,2,2200,0,1,0,0,1250,1,1
4007,3,"F1",35500,1044,0,0,1,400,400,300,500,0,0,300,500,0,0,1,0,0,2,400,0,0,0,0,400,1,1
4008,1,"F1",35500,1044,0,0,2,400,380,300,500,0,0,300,500,0,0,1,0,0,2,400,1,1,0,0,400,1,1
4028,3,"F1",35500,1052,0,0,1,1300,1050,1000,1500,0,0,1000,1500,3,3,0,0,0,2,1050,0,0,0,0,1250,1,1
4029,2,"F1",35500,1052,0,0,2,1300,700,1000,1500,0,0,1000,1500,3,3,0,0,0,2,1050,0,1,0,0,1250,1,1
4031,3,"F1",35500,1083,0,0,1,625,620,150,200,0,0,150,200,3,2,0,0,0,2,620,0,0,0,0,175,1,1
4032,2,"F1",35500,1083,0,0,2,625,400,150,200,0,0,150,200,3,2,0,0,0,2,620,0,1,0,0,175,1,1
4041,5,"F1",35500,1122,0,0,1,750,400,0,0,934,1,934,934,3,2,0,0,0,2,400,0,0,0,0,934,1,1
4042,3,"F1",35500,1122,0,0,2,750,180,0,0,934,1,934,934,3,2,0,0,0,2,400,0,1,0,0,934,1,1
4043,5,"F1",35500,1124,0,0,1,750,600,0,0,1250,1,1250,1250,2,2,0,0,0,2,600,0,0,0,0,1250,1,1
4044,3,"F1",35500,1124,0,0,2,750,600,0,0,1250,1,1250,1250,2,2,0,0,0,2,600,0,0,0,0,1250,1,1
4045,5,"F1",35500,1126,0,0,1,230,220,0,0,400,1,400,400,2,2,0,0,0,2,220,0,0,0,0,400,1,1
4046,3,"F1",35500,1126,0,0,2,230,130,0,0,400,1,400,400,2,2,0,0,0,2,220,0,1,0,0,400,1,1
4047,3,"F1",35500,1127,0,0,1,425,410,0,0,750,1,750,750,2,2,0,0,0,2,410,0,0,0,0,750,1,1
4048,5,"F1",35500,1127,0,0,2,425,220,0,0,750,1,750,750,2,2,0,0,0,2,410,0,1,0,0,750,1,1
4049,5,"F1",35500,1138,0,0,1,675,675,0,0,1630,1,1630,1630,3,2,0,0,0,2,675,0,0,0,0,1630,1,1
4050,3,"F1",35500,1138,0,0,2,675,350,0,0,1630,1,1630,1630,3,2,0,0,0,2,675,1,1,0,0,1630,1,1
4143,1,"F1",35500,1179,0,0,1,1250,1150,1500,2000,0,0,1500,2000,2,2,0,0,0,2,1150,0,0,0,0,1750,1,1
4144,4,"F1",35500,1179,0,0,2,1250,1100,1500,2000,0,0,1500,2000,2,2,0,0,0,2,1150,0,1,0,0,1750,1,1
